epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 28 0.0000000,"[-0.34384947071472804, -0.20932327564805764]","[-0.11102033971498404, 0.2167479710032545]","[0.2444007267554601, 0.1310698355858524]",,,"[-2.7624444751068946, -2.1157212720563012]","[-1.1526826116256417, -0.9621721718460321]","[-0.305625329973797, -0.48335426232467094]",,"[1.9065559367338816, 1.4794069370875755]","[-0.1353930298549435, 0.2436439219862221]","[0.00940382102419246, 0.658454139069252]"
08 11 15 1 28 30.0000000,"[-0.22562675724426906, -0.393277499638498]","[-0.15142731188486014, -0.1322323961804308]","[0.42004600365956624, -0.35495443983624386]",,,"[-2.3030609874054786, -0.9370450244595605]","[-1.1290243211202324, -1.5383790645748376]","[-0.17165150797615447, 0.11185932972778878]",,"[1.4669674495855967, 1.2381391814599434]","[-0.14677647392575954, 0.3072348210960625]","[-0.25781631847928654, 1.1621601025616455]"
08 11 15 1 29 0.0000000,"[-0.0839240978161494, 0.1710813755169509]","[-0.054204640972117524, 0.012141259138783056]","[0.6895329376061757, -0.9867047850663464]",,,"[-2.2117447642609473, -0.6741385327031213]","[-0.9970515015535056, -1.3994838956743478]","[-0.0070975006247560035, 0.19267148592819772]",,"[1.408153490225474, 1.737938358510534]","[-0.4266179789168141, 0.35590143240988237]","[0.1189591548769604, 1.188008833960228]"
08 11 15 1 29 30.0000000,"[-0.01687758962313335, -0.20743790622800606]","[0.07403416366626825, -0.057763902718821925]","[0.16934459110101063, -1.3694763962800305]",,,"[-1.7646040109917518, -2.5650668756415445]","[-1.1872453036718071, -0.6897014591842889]","[-0.08076776123295226, 0.1841547272478541]",,"[2.088032768170039, 2.4711551359544197]","[0.12234549333030964, 0.48610372580587846]","[0.02420140424658168, -0.06267855660564425]"
08 11 15 1 30 0.0000000,"[0.025699729224046064, -0.7569496816024186]","[0.35291052789737787, 0.5564388201882444]","[0.0431825836499532, 0.0519844706480701]",,,"[-2.4330754814669486, -3.0143711732079583]","[-1.217214250843972, -0.9022403422743082]","[-0.1919766471410791, 0.11519640007366738]",,"[1.147526294986407, 2.0705611846099297]","[-0.09935553263251995, -0.24741237126290816]","[0.24851955095220912, -0.8249297399962616]"
08 11 15 1 30 30.0000000,"[0.20330066432555516, -0.4403024202212693]","[0.21265492768337335, 0.4260351375987135]","[-0.35131729940573375, 0.27092477337767673]",,,"[-2.901045569591224, -2.7705448136975366]","[-1.0092186870984734, -0.9064417097717523]","[-0.02592070704946914, 0.6590905866896113]",,"[1.3715538243452707, 2.1923619798074165]","[0.08444515724355961, -0.6368073847144844]","[-0.43062137445520055, -1.6262762357438278]"
08 11 15 1 31 0.0000000,"[0.12901975413163502, -0.48131595905870217]","[0.26675895781566705, 0.06754067701598032]","[-0.014641938606897997, -0.1998603974158566]",,,"[-3.0420915720984336, -2.9977427141120034]","[-1.6500184926204384, -0.651399439945817]","[0.1073230772589644, 0.36434293606628976]",,"[1.830466107527415, 1.8511563232789436]","[0.02014793564255024, -0.4748660799115898]","[-0.3632926829726566, -1.7775825221980286]"
08 11 15 1 31 30.0000000,"[0.1493534614642461, -0.2716653978452088]","[-0.08286642848203574, -0.6067868604014315]","[-0.025744197765986132, -1.1067200635249417]",,,"[-2.601514079980552, -2.7841699288537103]","[-1.257443094532937, -0.6886257592588663]","[-0.09074916249761977, -0.17488030275950828]",,"[1.6576268831888834, 0.5780532500396173]","[-0.15390837083881115, -0.39722878001630324]","[-0.5894720592172016, -1.2490086664403153]"
08 11 15 1 32 0.0000000,"[0.029292510946591688, 0.020939376391470255]","[0.03270229877283182, -0.76259873646001]","[-0.35272131661574047, -1.6146471385533612]",,,"[-2.3966318605467674, -3.5325616614272195]","[-0.940445953886956, -0.8230415198951959]","[-0.1077711165572206, -0.5958949544156591]",,"[1.7358794222275415, 1.3694488844523827]","[-0.16135933141534542, 0.28332216776907426]","[0.09444865206171382, -0.28081969515926364]"
08 11 15 1 32 30.0000000,"[-0.29863766382137935, 0.38741168025881034]","[-0.10209569899986182, -0.11516645389298574]","[-0.5049743930498759, -1.421266842323045]",,,"[-2.4399898735806342, -3.755805777137478]","[-0.9678157213144004, -0.8208413038402795]","[-0.043241377236942435, 0.028863140133519982]",,"[2.20363000134627, 1.1947947731862465]","[-0.8981150824887059, 0.16928955651819688]","[0.47040140250612605, 0.5617708156859207]"
